Student_ID,Semester,Enrollment_Type,Degree_Type_Pursued,Intent_To_Transfer_Flag,Pell_Recipient,Major,Department,Cumulative_GPA,Semester_GPA,Number_Of_Courses_Enrolled,Number_Of_Credits_Attempted,Number_Of_Credits_Failed,Number_Of_Credits_Earned,Course_Pass_Rate,Online_Course_Rate
94635,2018SP,PT,Associate of Applied Science,Y,,Custodian Studies Certificate,,1.91,3.82,3,30,8,22,0.21,0.89
94635,2019FA,PT,Associate of Applied Science,N,,Business Administration,,0.78,3.73,3,14,1,13,0.66,0.16
97452,2019SP,PT,Non-Academic,N,Y,Business Administration,,2.74,2.59,1,21,18,3,0.54,0.56
97452,2019SP,FT,Associate of Arts,N,,Nursing,,2.74,2.67,5,7,3,4,0.26,0.67
97452,2020FA,FT,Associate of Applied Science,Y,,Graphic Design,,0.93,0.5,4,12,3,9,0.79,0.73
97452,2020FA,PT,Associate of General Studies,Y,Y,Graphic Design,,3.31,1.87,4,9,0,9,0.65,0.69
78523,2018FA,PT,Associate of Arts,Y,Y,Graphic Design,,1.96,3.39,5,23,15,8,0.91,0.03
78523,2018SP,FT,Non-Academic,N,,Nursing,,0.06,1.13,3,24,22,2,0.08,0.89
31834,2021FA,FT,Associate of Arts,N,,Computer Science,,0.07,0.02,5,23,6,17,0.85,0.33
31834,2018SP,PT,Associate of Science,Y,Y,Graphic Design,,3.88,3.64,3,29,1,28,0.05,0.44
31834,2021FA,FT,Associate of Applied Science,Y,,Computer Science,,1.04,1.01,5,12,10,2,0.47,0.85
27288,2020SP,FT,Associate of Applied Science,N,Y,Agriculture Associate of Arts,,1.61,2.07,5,27,10,17,0.07,0.12
27288,2020SP,PT,Non-Academic,N,Y,Business Administration,,2.59,2.91,4,17,16,1,0.13,0.23
27288,2018FA,PT,Associate of Arts,Y,,Nursing,,3.8,2.31,5,9,2,7,0.35,0.1
27288,2020SP,PT,Associate of General Studies,Y,Y,Construction Technician,,2.89,3.13,4,6,2,4,0.46,0.75
41710,2021FA,PT,Certificate,Y,,Nursing,,0.71,0.46,4,20,11,9,0.37,0.88
41710,2019FA,FT,Associate of Applied Science,Y,Y,Custodian Studies Certificate,,0.34,2.81,5,7,6,1,0.64,0.6
41710,2019SP,FT,Associate of Applied Science,N,,Business Administration,,1.81,2.78,1,4,1,3,0.87,0.46
89707,2019FA,FT,Associate of Science,N,Y,Computer Science,,3.33,2.19,1,23,13,10,0.64,0.88
89707,2020SP,PT,Non-Academic,N,Y,Graphic Design,,0.02,0.11,3,19,18,1,0.9,0.55
89707,2021SP,PT,Certificate,N,,Nursing,,0.02,0.08,2,25,17,8,0.48,0.06
